,text,color,size,position,time,sn,userid
0,二刷,#FFFFFF,1,0,0,42903755,qaz1210731
1,吉伊卡哇！,#FFFFFF,1,0,0,45641971,dodylee0107
2,感謝動畫瘋！,#FFFFFF,1,0,0,45796240,hyg125
3,吉依好可愛,#FFFFFF,1,0,5,40580321,KingOrange69
4,哈嘍,#FFFFFF,1,0,5,40657118,rwan123
5,簽,#FFFFFF,1,0,5,41446388,nehsh101
6,1,#FFFFFF,1,0,5,42235007,zxc520031
7,個,#FFFFFF,1,0,5,42576215,d3498115
8,千,#FFFFFF,1,0,6,43809180,pikachiuweii
9,靠真的好可愛,#FFFFFF,1,0,10,38700844,milkppt
10,簽,#FF0026,1,0,15,42812053,Ceadda127
11,好可愛啊😍,#FFFFFF,2,0,15,43532304,bellaliu1230
12,兄弟們 我來了！,#FFFFFF,1,0,16,42125192,good78221125
13,簽,#FFFFFF,1,0,19,42456696,Rei9488
14,總點閱數千萬了，什麼時候出中文續集QAQ,#FFFFFF,1,0,23,41862583,IONCHIPS
15,我怎麼可能會輸給吉伊卡哇,#A7FE39,1,1,23,42523886,sunny254ww
16,巴哈我大哥,#FFFFFF,1,0,24,37399442,gemmalinn
17,兄弟,#FFFFFF,1,0,25,37090866,k246836
18,😆,#FFFFFF,1,0,25,37543537,a59875987
19,兄弟,#FFFFFF,1,0,25,39165765,coolmus64
20,這真的超可愛,#FFFFFF,1,0,25,41891414,bubble0315
21,好可愛,#FFFFFF,1,0,25,43842076,jerry990126
22,好棒喔  謝謝巴哈,#FFFFFF,1,0,28,37092222,kifar13
23,這部很治癒 也有一些恐怖的細節,#FF9496,2,0,30,42780785,kkjt1030
24,可愛,#FFFFFF,1,0,34,42096407,smile10101
25,感謝動畫瘋！,#FFFFFF,1,0,35,37089028,cathykao1015
26,1130611,#FFFFFF,1,0,35,39908396,Cute710
27,體感一分鐘笑爆....XD,#FFFFFF,1,0,40,40543483,ncbob
28,簽,#FFFFFF,1,0,44,42661483,m617007
29,謝謝巴哈大哥,#FFFFFF,1,0,47,41916318,zero77716
30,好可愛啊！我的天,#FF9496,1,1,49,45101628,kateihan0307
31,巴哈我大哥啊啊啊啊啊,#FFFFFF,1,0,50,37116180,iorimo0u0
32,兄弟…,#FFFFFF,1,0,50,38425610,zzxcc132465
33,日本,#FFFFFF,1,0,52,44779016,amywei03
34,簽,#FFFFFF,1,0,58,38369474,hongyouc01
35,簽！,#FFFFFF,1,0,58,41720550,Angrypig0212
36,二刷,#FFFFFF,1,0,59,44529553,st5109185
37,五刷,#FFFFFF,2,0,62,37116008,kerrypeng62
38,呀～～～耶,#FFFFFF,1,0,62,37846538,brianbon
39,你知道我要說什麼。(gif,#FFFFFF,1,0,65,37598411,ray030716
40,2024/7/3簽:D,#B538FA,1,0,65,40289891,Noisyfish
41,瘦版烏薩奇,#FFFFFF,1,0,65,42597745,loenyen73
42,伊呀哈～,#FFFFFF,1,0,70,37106233,blight0710
43,超三小,#FFFFFF,1,0,70,41651190,kevinlin5220
44,(´･ω･`),#FFFFFF,1,0,70,45532397,adcw
45,兔兔,#FFFFFF,1,0,71,37141334,marux3
46,兄弟，你香,#FFFFFF,1,0,73,39173954,hoen0531
47,兄弟...,#FFFFFF,1,0,75,38588475,hauch000727
48,簽,#FFFFFF,1,0,75,45040253,tjh0528
49,這時候聲優還很克制呢，可愛可愛的，後面就,#FFFFFF,1,0,76,41948239,Euphie617
50,30秒廣告 進來看1分鐘:）,#FFFFFF,1,2,80,38930758,s2p7hc2r9g
51,簽,#FFFFFF,1,0,80,42439437,JiaRui0719
52,兄弟,#FFFFFF,1,0,81,41531892,mken
53,阪急電鐵有搭到,#FF9625,1,0,85,38108219,erichuang80s
54,讚讚,#FDE53D,2,0,85,43843894,Mia1020214
55,第一次看動畫,#FFFFFF,1,0,86,41514906,z7957309
56,兄弟...兄弟...,#FFFFFF,1,0,87,37089556,as22768221
57,呀哈,#FFFFFF,1,0,87,42160399,fe6793
58,兔子玩得那麼開心，我聽了也好開心,#FDE53D,1,0,88,41712600,DKLin0218
59,巴哈我大哥啊啊啊啊啊啊！呀～～～～哈～～,#00C3FC,1,0,90,37320818,cutez77
60,我也想上去彈跳XD!!!!,#FFFFFF,1,0,93,37090008,akarimez
61,20250203,#FFFFFF,1,0,93,43750059,s0813707
62,怎麼可以那麼可愛,#FFFFFF,1,1,95,37836304,mia10110060
63,好好吃的感覺,#FF9496,1,0,95,39963271,haru15
64,我沒了,#FFFFFF,1,0,95,41584015,momoja0405
65,可愛死,#FFFFFF,1,0,95,44179848,g840483938
66,咿呀哈,#FFFFFF,1,0,97,37089017,xrayxrayxray
67,簽,#FFFFFF,1,0,97,41939951,g1080109
68,好可愛啊啊,#FFFFFF,1,0,97,46099545,t7cct7tc7c8
69,好癲我喜歡,#FFFFFF,1,0,98,40277813,s06578
70,這也太絲滑,#FFFFFF,1,0,98,44056626,WWW924051
71,呀,#FFFFFF,1,0,100,42386189,UwUsb924549
72,二刷,#FFFFFF,1,0,101,43860125,inspiration9
73,簽,#FFFFFF,1,0,105,40784961,yu2501171025
74,羊粑粑,#FFFFFF,1,0,105,44235094,K941119
75,！！！,#FFFFFF,2,0,106,42505502,pink20111129
76,24／7／18 一刷,#0036FA,2,2,109,40649740,xgu3771
77,呀哈！,#FDE53D,2,1,112,44403849,wunuynuy
78,好可愛,#FFFFFF,1,0,114,44529401,st5109185
79,啊啊啊啊啊啊 好可愛,#FF0026,1,0,115,41104639,zzx0914
80,超愛小八,#FFFFFF,1,0,115,42722940,g57z2p9hz8
81,好可愛R,#FFFFFF,1,0,116,37255874,orpeter2266
82,這個YA~的配音也太好笑🤣,#FFFFFF,1,0,116,40913696,sasujiya0214
83,巴哈我大哥,#FFFFFF,1,0,117,39327143,a4090851206
84,.,#FFFFFF,1,0,118,43528987,q3882222
85,兔哥威武,#FFFFFF,1,0,120,37088992,svn77
86,ʕ •ᴥ•ʔ,#FFFFFF,1,0,120,45532417,adcw
87,我好像有吉伊卡哇正版小娃娃,#FF02D3,2,0,121,41338198,qdi201716
88,吉伊值得你儲值付費,#FF9625,2,2,124,41569792,kmc41891
89,兄弟…你好香,#00C3FC,1,0,125,39026504,BHSN00004rpu
90,截圖當桌布,#FFFFFF,1,0,125,40271962,Bananaaa
91,別怕30秒廣告，因為你會一直重播看1小時,#FF9625,1,0,125,41712632,DKLin0218
92,挖哭挖哭,#FFFFFF,2,1,125,41820652,terryc92
93,兄弟...,#FFFFFF,1,0,126,38724243,Tt97011
94,烏薩奇我大兔哥,#FFFFFF,1,0,128,37923685,fkps9450432
95,兄弟你好香,#FFFFFF,1,0,129,37912075,thffhrherh5
96,我是兔媽咪,#FDE53D,2,2,129,42400432,yjyjyyjj
97,嗨,#FFFFFF,1,0,129,42530942,Wufun123
98,三小,#FFFFFF,1,0,130,37130234,ryan950623
99,好可愛,#FFFFFF,1,0,130,42719189,opendassh
100,8,#FFFFFF,1,0,133,44529558,st5109185
101,兄弟,#FFFFFF,1,0,135,37905019,Liny37723
102,買了會員看不了廣告呢,#FF0026,1,2,135,39669980,skfq99492p
103,嗚啦 嗚啦 嗚啦,#FFFFFF,2,2,135,40035961,egggg0720
104,可愛！,#FFFFFF,1,0,135,42832226,wwww98347
105,嘻嘻,#FF02D3,2,0,135,44777412,n2mdgjrmnx
106,巴哈我大哥,#FFFFFF,1,0,140,40226966,rc20081109
107,你好吉一卡娃,#00FF91,1,1,143,45336499,peide256
108,我可以重複N次,#FFFFFF,1,0,144,42655630,Euphie617
109,好可愛,#FF9496,2,0,148,42344679,QAQ108017
110,好可愛,#FFFFFF,1,0,148,45613814,hs109026
111,嗚啦,#FFFFFF,1,0,151,41817353,cjad20010827
112,好可愛,#FF9496,1,0,152,42649121,paz76823361
113,兄弟轉個身,#FFFFFF,2,0,155,38197027,Dd090527
114,發現才1分多鐘卻要看30秒廣告，直接買付費:D,#FF9496,2,2,155,41472799,koorishin
115,烏,#FFFFFF,1,0,155,43754902,s1080025
116,好可愛哦😍🥰🥰,#FF0026,1,0,155,44501388,aliny54689
117,體感一分鐘,#FFFFFF,1,0,159,40792176,aaazxc348481
118,泰可愛辣!,#FF0026,2,0,160,43489018,tariuang
119,強烈建議買會員！！！,#FDE53D,1,0,160,43991692,sy09871601
120,兄弟你好香,#FFFFFF,1,0,162,39629298,Shsjwi
121,小可愛登場！,#FF0026,2,0,165,41104654,zzx0914
122,超可愛///////////////////,#FFFFFF,1,0,168,37088925,akarimez
123,烏薩奇~~~~~~~,#FFFFFF,1,0,171,46178393,laeglel
124,30秒的廣告看一分半的小八.,#FFFFFF,1,0,172,37090126,murphyhu0219
125,蛤,#FFFFFF,1,0,173,42646453,eric200571
126,2024/11/28 二刷 求更新,#FFFFFF,0,0,175,42913488,aids123die
127,你好可愛啊🥹,#FFFFFF,1,0,176,39508940,amandalin607
128,好可哀,#FFFFFF,1,0,176,42513019,wugu10416
129,兄弟 吃統一布丁囉,#FFFFFF,1,0,177,39288033,Nakobalala
130,開頭就玩食物,#FFFFFF,1,0,179,43844028,egriawei
131,超可愛,#FFFFFF,1,0,179,44179850,g840483938
132,好好看啊！,#FFFFFF,1,0,184,44456224,nxjhcfynvq
133,啊啊啊超可愛 我沒了///,#FFFFFF,1,0,185,37106243,blight0710
134,聽說辱華了 來看看是什麼神作,#FFFFFF,1,0,185,38868903,IamBongu0626
135,兄弟,#FFFFFF,1,0,186,37249637,designer22
136,簽,#FFFFFF,1,0,188,42532155,rosa0812
137,好萌喔,#FFFFFF,1,0,191,43650216,annana566
138,兄弟....,#FFFFFF,1,0,192,40389980,llennskadi
139,呀!!!!,#FFFFFF,1,0,193,41946183,Onandoff
140,兄弟…,#FFFFFF,1,0,195,37292990,enjoyuting
141,為了看 兄弟，你好香 買會員,#FFFFFF,1,0,197,41802021,a24060535
142,兄弟 轉身 有急事,#FFFFFF,1,0,198,38904909,Isjskana
143,我的吉伊宝宝！！,#FFFFFF,1,0,200,39826739,IIJiYi107
144,好可愛！！！！,#FF0026,2,0,200,43658861,qwq1204
145,這三小,#FFFFFF,1,0,201,41353244,BHSN00002kht
146,兄弟 你好有味道,#FFFFFF,1,0,201,41924853,hhhh8514
147,吉哇,#FF0026,1,0,208,41386750,redskycity
148,兄弟有急事,#FFFFFF,1,0,210,38771376,Steven1226
149,烏薩奇我寶貝,#FFFFFF,1,0,210,38905005,n1073219
150,兄弟你好香,#FF0026,2,2,210,41495379,n5gh98vz4n
151,這三小,#FF0026,2,1,215,38403282,smoonzz
152,好可愛啊天,#FFFFFF,1,0,215,42318674,wxiaomei945
153,布丁兔兔！！！,#FDE53D,1,0,220,38517823,linliyan6008
154,黏黏黏,#FFFFFF,1,0,220,40271970,Bananaaa
155,啊啊啊可愛,#FF02D3,1,0,220,42925458,angel1joanne
156,我第一次看,#FFFFFF,1,0,221,41164994,tsubakilee
157,體感一分鐘WWW,#FFFFFF,1,0,221,41597794,nico7214034
158,好可愛喔,#FFFFFF,1,0,223,37089664,torappub70
159,看巴哈那麼久 竟然是因為吉伊卡哇課金,#FFFFFF,1,0,225,42426973,Roubert
160,第一次在巴哈課金就為了吉伊卡哇,#FFFFFF,1,0,225,43478064,ch0922
161,池沼布丁,#FF9625,2,1,235,37097163,w3616327
162,我是新粉🤡🤡,#FFFFFF,1,0,235,42318680,wxiaomei945
163,好可愛😍😍,#FFFFFF,1,0,236,41012224,kaito0621
164,幹我跟我同學ww,#FFFFFF,1,0,240,37884243,c107049
165,首刷 機率下 2024/9/1,#FFFFFF,1,0,240,41578076,S1104930830
166,兄弟，你好香( 。ớ ₃ờ)ھ,#FFFFFF,1,0,246,42323685,gndr1798
167,卡哇,#FFFFFF,1,0,249,37090109,kodgreen59
168,烏拉,#FFFFFF,1,0,250,37088965,hettt5655
169,兄弟 你好香,#FFFFFF,2,0,252,37590354,C8763jason
170,最愛兔哥烏薩奇,#FFFFFF,1,0,252,41204719,jessie78327
171,晴空塔有看到這段,#FFFFFF,1,0,258,37105528,mu317666
172,"有人在嗎嘉義

有人在嗎+1",#FFFFFF,1,0,259,41165004,tsubakilee
173,我就來看看他在紅什麼,#FFFFFF,1,0,260,41587998,Yan705
174,為什麼會有HOMO發言啊！,#FFFFFF,1,0,262,38747311,HeyMeow
175,兄弟你好香,#FFFFFF,1,0,265,37200055,BHSN00005180
176,互舔就是另外的分類了,#FFFFFF,1,0,267,39361498,TAITAN
177,可愛,#00C3FC,1,0,267,40894454,kekerry75
178,2024/8/26一刷,#FFFFFF,1,0,267,41455922,cupid005
179,兄弟你好香XD,#FFFFFF,1,0,275,42218642,Jing54017
180,兄弟,#FFFFFF,1,0,284,38507836,badkin
181,為了吉伊我脫離當免費仔,#FF0026,2,2,285,41698846,Lancelot1204
182,啊啊啊啊啊好可愛,#FF0026,1,0,285,43658863,qwq1204
183,鷗科,#FFFFFF,1,0,288,45911440,badbadtzes
184,好可愛～^ _ ^😍,#FFFFFF,1,0,290,44530212,a8962189
185,可愛,#FFFFFF,1,0,290,45735353,yk2m6tbvb9
186,好可愛🫠,#FFFFFF,1,0,291,39717927,Sonnun
187,咦呀！！！！！,#FFFFFF,1,0,294,39156757,jnini107040
188,香香的～（？,#FF0026,1,1,294,45101639,kateihan0307
189,在的說話,#FFFFFF,1,0,295,43843903,Mia1020214
190,啊～～～,#FFFFFF,1,0,296,43574718,kevinerrt098
191,^^,#FFFFFF,1,0,298,43535454,dozwang
192,???,#FFFFFF,1,0,299,39987834,karta2194512
193,小寶寶們ˊ///ˋ,#FFFFFF,1,0,303,37090112,kodgreen59
194,這隻黃色的好欠打,#FFFFFF,1,0,307,39310541,a631003
195,最愛兔哥烏薩奇>///<,#FFFFFF,1,0,307,41204730,jessie78327
196,嗅嗅,#FFFFFF,1,0,309,37846552,brianbon
197,海嗨嗨嗨嗨👏👏👏👏👏,#00C3FC,1,0,315,42633677,yzf8rvkgnk
198,兔子超ㄐ歪,#FFFFFF,1,0,316,37182596,rockman73
199,#P可愛,#FFFFFF,1,0,320,45613822,hs109026
200,烏薩奇寶貝,#FFFFFF,1,0,323,44529406,st5109185
201,好可愛,#FFFFFF,1,0,324,38508089,Furabbit
202,感覺超黏踢踢的,#FFFFFF,1,0,325,38219587,keroro9987
203,在幹嘛,#00FF91,1,0,325,41977362,Alice5555
204,吉八,#FFFFFF,2,0,325,43824367,NOSAJJASON
205,看起來很好吃,#FFFFFF,1,0,329,43200774,amy20130605
206,呀～～～,#FFFFFF,1,0,332,39926073,kg147369
207,兄弟 你好香阿,#FFFFFF,1,0,332,42273064,q8882020
208,好可愛,#FFFFFF,1,0,334,42109022,alerub
209,可惡 我居然為了吉伊卡哇課金,#FF0026,1,2,335,41989040,fly410149
210,最喜歡烏薩奇+1～～～,#FFFFFF,1,0,335,44131268,tina117
211,兄弟 你好甜,#FFFFFF,1,0,340,37912085,thffhrherh5
212,好可愛,#FFFFFF,1,0,340,46039271,xliu70190
213,想吃鬆餅,#FFFFFF,1,0,342,38798408,shadow121010
214,廣告比影片久XD,#FFFFFF,1,0,342,43809188,pikachiuweii
215,???,#FFFFFF,1,0,344,40801113,Angela213120
216,好可愛喔,#FFFFFF,1,0,347,43024888,j1070526
217,兄弟你好香,#FF0026,1,0,350,38700882,milkppt
218,2025.5.15簽到,#FFFFFF,1,0,353,45001925,hanning525
219,我12了,#FF0026,1,0,355,44035485,Dhkwk
220,好可愛~,#FFFFFF,1,0,356,38496581,vicky220
221,兔哥,#FFFFFF,1,0,356,43754904,s1080025
222,影片90秒 廣告30秒,#FFFFFF,1,0,356,44744709,a4391030
223,???,#FFFFFF,1,0,359,41709872,joe71406
224,兄弟你好香,#FFFFFF,1,0,359,44049543,A524gino
225,蛤?,#FFFFFF,1,0,360,41701450,gl0507
226,好讚,#FFFFFF,1,0,364,37285672,k122662479
227,我也要吃布丁,#FFFFFF,1,0,365,43908582,Anima0415
228,y,#FFFFFF,1,0,366,42795395,haps108240
229,嗨,#FFFFFF,1,0,370,41337806,CATDOG2333
230,咿咿咿咿咿咿咿咿咿咿咿咿咿咿,#FFFFFF,1,0,372,43519307,joy613536
231,過半警告,#FFFFFF,1,0,376,37359970,robin7331899
232,感謝巴哈上動畫,#FFFFFF,1,0,378,37257322,mo0209
233,嗨,#FFFFFF,1,0,380,42678961,s109231
234,好可愛,#FFFFFF,1,0,380,43032398,Katie2013
235,喔我要不行惹,#FFFFFF,1,0,382,43650219,annana566
236,課爆!!!!!!!!!!!!!!!!!!!!!!,#FFFFFF,1,0,386,42317242,lois19920926
237,可愛,#FF9625,2,2,387,42532160,rosa0812
238,&2&8/$:7.!/,#FFFFFF,1,0,390,41438770,s0714eddie
239,會有螞蟻XD,#0036FA,1,0,392,39963278,haru15
240,我竟然有反應欸！！！,#FF0026,1,1,395,44035489,Dhkwk
241,口愛,#FFFFFF,1,0,397,38841610,roucichiu
242,我的屁股⬇️,#FFFFFF,2,1,398,37740788,Luna1023
243,好好吃,#FFFFFF,1,0,400,43023482,cxj20130622
244,哇,#FFFFFF,1,0,400,44529562,st5109185
245,看到壞鬆餅直接笑出來,#FFFFFF,1,0,405,41223436,kbfr
246,好可愛,#FFFFFF,1,0,405,42949205,ye978799
247,碰！,#FDE53D,2,2,408,37209651,seeso
248,可愛,#FFFFFF,1,0,410,41576686,Yuooo1221
249,五七親愛給內鬧鬧,#FFFFFF,1,0,412,45911443,badbadtzes
250,你這個壞鬆餅,#FF0026,1,2,415,40285661,wegt458
251,碰,#FFFFFF,1,0,416,42220545,qOuOl
252,怎麼到處都有homo阿 (惱,#FFFFFF,1,0,428,37933031,udte0503
253,寶寶!,#FFFFFF,1,0,431,42192993,peter880421
254,蛤~,#FFFFFF,1,0,434,45808451,jobe13321712
255,兄弟…,#FFFFFF,1,0,438,39010683,yukipedia
256,過半警告(也太快xd),#FFFFFF,1,0,440,44467853,Meatbun1204
257,<(˙▽˙<),#FF9496,2,0,442,37651666,pinky122116
258,好可愛,#FF0026,1,1,442,42577275,ryanwu0615
259,碰,#00FF91,1,0,444,41946188,Onandoff
260,TV,#FFFFFF,1,0,445,46135365,phone0331
261,這筆天竺鼠車車還短耶,#FFFFFF,1,0,448,41597804,nico7214034
262,😯,#FFFFFF,1,0,450,40744524,ooxx1125
263,Isuzu b hsushshushs sixoxiu🫒😂🫒,#00FF91,1,0,450,41438775,s0714eddie
264,我朋友射了,#FF0026,1,1,455,44035504,Bro0201
265,兔子好鬧🤣🤣可愛,#FFFFFF,1,0,460,41452694,nina766335
266,鬆餅，你好香( 。ớ ₃ờ)ھ,#FFFFFF,1,0,463,43683890,annana566
267,人類：手機先吃,#FFFFFF,1,0,463,43683900,annana566
268,這食物這算不算SM,#FFFFFF,1,0,463,43683911,annana566
269,呀哈,#FFFFFF,1,0,464,43703781,schy90503
270,磅！,#FDE53D,1,2,465,37363800,chenwenxin
271,兄弟 想趴你,#FFFFFF,1,0,465,37912091,thffhrherh5
272,為什麼要拍？,#FFFFFF,1,0,465,40271978,Bananaaa
273,真的好療癒,#FF9496,2,0,466,42934909,yuyan5831
274,什麼可愛小卡通！根本美食節目嗎🧡🧡！,#FDE53D,2,0,466,44403861,wunuynuy
275,%,#FDE53D,1,0,467,37090648,xman123
276,好愛兔兔的精神狀態,#FFFFFF,1,0,468,42694476,mia7721
277,我是鬆餅ww,#FFFFFF,1,2,470,44806397,season1011
278,spanking,#FFFFFF,1,0,471,42004802,Newbiesama
279,我也想拍打鬆餅,#FF0026,2,0,474,37172402,qwe30315
280,烏薩奇,#FFFFFF,1,0,475,42552428,Jamei0111
281,2月9日,#FFFFFF,1,0,475,43843917,Mia1020214
282,🍕,#FFFFFF,1,0,475,44957860,cwr1120
283,好香啊,#FFFFFF,1,0,477,41817960,cjad20010827
284,bonk,#FFFFFF,1,0,478,37102731,sevenwgsss
285,%,#FFFFFF,1,0,480,37093635,BBB122328
286,好想吃,#FFFFFF,1,0,480,44529563,st5109185
287,哈哈哈,#FFFFFF,1,0,485,42454655,ayiimilk
288,好可愛,#FF9496,2,0,487,41465869,ching72325
289,謝謝巴哈,#FFFFFF,1,0,489,38014630,tiger5567
290,無敵可愛！！,#FFFFFF,1,0,489,38496585,vicky220
291,我切切切！,#FFFFFF,2,2,490,41385333,cecelia0407
292,超可愛ㄟ,#00C3FC,1,0,490,43594337,yqr1009
293,好好吃,#FFFFFF,1,0,495,38508093,Furabbit
294,快被可愛死了救命,#FFFFFF,2,0,495,40538581,shmily120433
295,打我屁股,#FF0026,2,1,496,39378644,BHSN000058k3
296,食物SM,#FDE53D,2,2,497,41032278,sunnyjiss6
297,過半警告,#FFFFFF,1,0,499,42532879,JIGUANG2010
298,不要玩食物,#FFFFFF,1,0,503,38219600,keroro9987
299,2024/11/11簽,#FFFFFF,1,0,503,42694481,mia7721
300,???????????????????????????,#FFFFFF,1,0,508,40801122,Angela213120
301,這是太熱再拍坐墊的感覺,#FFFFFF,1,0,510,41544582,yuri930603
302,%%%,#FFFFFF,1,0,515,40226976,rc20081109
303,感謝巴哈上架超可愛動畫！,#FFFFFF,1,0,517,37138683,amazingcaty
304,好想扁他們喔,#FFFFFF,1,0,518,41721397,alen940115
305,wow,#FFFFFF,1,0,519,44155003,timlin0808
306,😋,#FFFFFF,1,0,520,37869385,m18322415928
307,我想吃鬆餅🥞,#FFFFFF,1,0,520,38905017,n1073219
308,吃貨兔兔,#FFFFFF,1,0,520,44744627,rvvvv
309,好可愛,#FF9496,1,0,522,40667147,ariel0321
310,咖哇伊,#FFFFFF,1,0,524,37110884,Ohayouu
311,讓我想到打女友屁股,#FFFFFF,1,0,524,38239728,s7012806
312,好想吃,#FF0026,2,0,527,37172403,qwe30315
313,拍打洛可阿嬤,#FFFFFF,1,0,528,37209148,sholfen
314,#P可愛啊啊,#FFFFFF,1,0,531,45613833,hs109026
315,看起來也太好吃,#FFFFFF,1,0,535,40271980,Bananaaa
316,好吃,#FFFFFF,1,0,535,40525529,monkeyyo001
317,可愛,#FFFFFF,1,0,539,44179853,g840483938
318,烏薩奇跟吉伊卡哇是酒肉朋友,#FFFFFF,1,0,540,42597757,loenyen73
319,兔哥好可愛www,#FFFFFF,1,0,544,45414400,UUu00329
320,不揍哈姆醬,#FFFFFF,1,0,545,37193574,mfabc
321,媽的媽的媽的,#FFFFFF,1,0,545,37326727,Kujila510710
322,靠吃好快,#FFFFFF,1,0,545,41891424,bubble0315
323,用鏟子切？小八：「對啊」我：「🤣🤣🤣」,#FFFFFF,1,0,545,44501406,aliny54689
324,早餐吃鬆餅,#FF0026,2,0,546,37172404,qwe30315
325,可愛呀,#FFFFFF,1,0,547,41337819,CATDOG2333
326,好想吃～,#FFFFFF,1,0,547,45701968,peggy062800
327,西,#00FF91,1,0,549,44529412,st5109185
328,兔子吃東西好可愛w,#FFFFFF,1,0,554,37088951,lonely250
329,好可愛的吉依寶寶 想一口吃掉,#FF9496,1,0,555,41701527,belleee
330,挖槽 暴風式吞入 也太可愛了吧,#FFFFFF,1,0,557,44056647,WWW924051
331,什麼奇怪生物,#00C3FC,2,0,559,41275706,aa91a0112
332,一個「啊」各種情緒,#FFFFFF,1,0,560,40362225,meng7917
333,可愛,#FFFFFF,1,0,561,38086388,Tony15246
334,好可愛😍,#FF9496,1,0,570,37114336,kylieisme094
335,🐸,#FFFFFF,1,0,570,38496590,vicky220
336,深淵巨口(⁠ﾉﾟ⁠0ﾟ⁠)⁠ﾉ⁠,#FF0026,1,1,574,45101652,kateihan0307
337,吉伊卡哇在幫動畫瘋賺錢嗎 免廣告的錢,#FFFFFF,1,0,575,41529918,emma061105
338,"有人跟我一樣晚上看嗎
看了快餓死",#FFFFFF,1,0,576,41165019,tsubakilee
339,想吃鬆餅了哈哈哈哈哈,#FF9496,1,1,580,41391053,patty902
340,一口塞你到底是兔子還是倉鼠,#FFFFFF,1,0,589,42666789,chin0924
341,摸骨摸骨,#FFFFFF,1,0,590,39745768,Griswold
342,體感一分鍾…,#FFFFFF,1,0,591,37106844,a28607
343,體,#FFFFFF,1,0,595,43754911,s1080025
344,我爸爸張文郡,#FFFFFF,1,0,595,45190390,zijunwei0202
345,喜歡看兔兔吃東西超可愛😍,#FFFFFF,1,0,596,44575045,peach9611
346,啊啊啊啊,#FFFFFF,1,0,600,41280684,fuyuyoru030
347,暴力吃鬆餅,#FFFFFF,1,0,601,41817962,cjad20010827
348,啊啊啊那個超可愛是怎樣啦,#FFFFFF,2,0,605,38403305,smoonzz
349,咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿咿,#FFFFFF,1,0,605,43519317,joy613536
350,買了買了 月租方案為了看這個XDD,#FFFFFF,1,0,606,37340484,ann84
351,?????????,#FFFFFF,1,0,608,42746830,abc21086999
352,30秒的廣告：）,#FFFFFF,1,0,610,37263626,joanna0321
353,客愛愛,#FFFFFF,1,0,618,44179854,g840483938
354,不想變只要主流就說討厭，來嘗試了解這三小,#FFFFFF,1,0,619,41927849,asure8888
355,好可愛喔,#FFFFFF,1,0,621,42023149,tiff6323
356,這到底是三小,#FF0026,1,0,625,42453288,allencgl1
357,太快就1集了吧,#FFFFFF,1,0,626,42893301,dd8842245
358,yuuyuyu,#FFFFFF,1,1,631,43103312,chenyin09
359,想像氷川日菜（CV小澤亞里）在幕後鬼叫,#FFFFFF,1,0,634,37110322,ol0SOW0lo
360,晚安,#FFFFFF,1,0,637,44440673,jimmy0416
361,哈哈哈哈哈,#FFFFFF,1,0,637,45641984,dodylee0107
362,哇啊啊,#FFFFFF,1,0,640,45624030,aaaanini0824
363,什麼結束了！？我到底看了什麼？？,#0036FA,2,2,641,44139947,SUDU9527
364,趴！沒了,#FFFFFF,1,0,642,41322892,z9ha45pt26xo
365,"期待加入小八的演唱:""D",#FFFFFF,1,0,643,37090118,kodgreen59
366,冷知識：已結束，而且片尾很長<(˙▽˙<),#FFFFFF,1,2,643,43683942,annana566
367,蛤,#FFFFFF,1,0,645,40059278,lina1050091
368,好可愛喔～,#FF9496,1,1,645,40451028,doggypig2019
369,❤❤❤,#FFFFFF,1,0,648,42335915,yoyohsu1005
370,小知識:兔子外的兩個主要角色都是小孩配的,#FFFFFF,1,0,649,37089016,pkpkpk86520
371,超讚ㄉ！！！！！！！,#FFFFFF,1,0,649,38496591,vicky220
372,不是體感一分鐘，是真的只有一分鐘,#FFFFFF,1,0,650,37167002,LiaoWenhua
373,沒了？？？？？？？？？？？？？？？？？,#FF0026,2,1,650,39378653,BHSN000058k3
374,？？ㄡㄡㄡㄡ,#A7FE39,1,0,650,42920226,evaasgg128
375,音乐超好听也超可爱~~~,#FF9496,1,0,653,38517836,linliyan6008
376,太廢了吧？,#0036FA,1,0,655,42555322,Lucy08070807
377,(*¯︶¯*),#FFFFFF,1,0,657,39156779,jnini107040
378,時間小偷,#FFFFFF,1,0,660,37089286,nitama487
379,這到底是三小,#FF0026,2,2,663,42532176,rosa0812
380,體感90秒,#FFFFFF,1,0,665,37188419,chi525051
